"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1921892986717110274","Mon May 12 12:21:11 +0000 2025","0","@kemgelapan udah gak sabar denger penjelasan mutakhir about AI dari mega pakar kita @gibran_tweet","1921903478802116610","","kemgelapan","in","","0","0","0","https://x.com/undefined/status/1921903478802116610","1206977494324150272",
"1921892986717110274","Mon May 12 12:08:26 +0000 2025","0","@kemgelapan Mas Gibran mana ini? Masa bahas AI ga ada pakar AI-nya sih?","1921900271275229301","","kemgelapan","in","","0","0","0","https://x.com/undefined/status/1921900271275229301","1848289802313207808",
"1921507657460167035","Mon May 12 12:05:17 +0000 2025","0","@kemgelapan @gibran_tweet @rugunator @audhinafh @ervirdirahmat ini siapa yang bikin poster kok wajah2 narsumnya ga pake AI?","1921899479340310627","","kemgelapan","in","","0","0","0","https://x.com/undefined/status/1921899479340310627","1305847276753936384",
"1921892986717110274","Mon May 12 11:57:11 +0000 2025","0","@kemgelapan invo A1 kehadiran mas gibran akan digantikan oleh AI","1921897440795345293","","kemgelapan","in","","0","0","0","https://x.com/undefined/status/1921897440795345293","1206977494324150272",
"1921895565446578324","Mon May 12 11:49:44 +0000 2025","0","Menarik banget ini. Bareng pakar AI @gibran_tweet mungkin @gibransesunan mau gabung","1921895565446578324","","","in","","0","1","0","https://x.com/undefined/status/1921895565446578324","2892323958",
"1921427888684806428","Mon May 12 11:42:59 +0000 2025","0","@luthfisatriaa @gunsnrosesgirl3 AI Gibran kayanya peys Aug mah kurang paham ned biasanya yang paham @dedenmhmmd","1921893865075642588","","luthfisatriaa","in","","0","1","0","https://x.com/undefined/status/1921893865075642588","124756191",
"1921786265701122544","Mon May 12 11:26:51 +0000 2025","2","@xquitavee @habiburokhman Di sarankan tidak di buat AI seperti Anjuran @gibran_tweet yg tidak pakai AI kalah dengan yang memakai AI Tapi Bareskrim belum menangkap pelakunya ! https://t.co/ppbBqtYv7b","1921889804733575414","https://pbs.twimg.com/media/Gqvsl5FaoAAXtIs.jpg","xquitavee","in","","0","0","1","https://x.com/undefined/status/1921889804733575414","3523160420",
"1921888784993456537","Mon May 12 11:22:47 +0000 2025","0","Wakil Presiden Gibran Rakabuming Raka menyampaikan bahwa mata pelajaran artificial intelligence (AI) akan dimasukkan ke kurikulum SD SMP SMA dan SMK mulai tahun ajaran baru. Hal ini telah dibahas dalam rapat terbatas bersama Menteri Pendidikan Dasar dan Menengah Abdul Mu'ti. https://t.co/2qGeQJTCtM","1921888784993456537","https://pbs.twimg.com/media/GqvrqYLWUAEUjeD.jpg","","in","","0","0","0","https://x.com/undefined/status/1921888784993456537","1551983101567729664",
"1921886223980732751","Mon May 12 11:15:25 +0000 2025","0","@idextratime Bacot Eti dibayar berapa sih sama Gibran rajin banget retweet akun AI cok","1921886929894691313","","idextratime","in","","0","1","0","https://x.com/undefined/status/1921886929894691313","3225157992",
"1921713239664021778","Mon May 12 11:02:16 +0000 2025","0","@xquitavee @prabowo @jokowi Gibran sendiri yg suruh anak Paud. SD. SMP. Blajar AI","1921883621683552533","","xquitavee","in","","0","0","0","https://x.com/undefined/status/1921883621683552533","1222567744123461632",
"1921487544786767918","Mon May 12 10:41:31 +0000 2025","0","@ketan_juruh @Piyusaja2 @prabowo @gibran_tweet @DokterTifa Ayo mas gibrann si paling AI mana nih AI AI","1921878398982381628","","ketan_juruh","in","","0","0","0","https://x.com/undefined/status/1921878398982381628","1060413511304531970",
"1921422552955806053","Mon May 12 10:36:35 +0000 2025","0","@henrysubiakto @RadioElshinta Padahal Gibran koar koar soal AI y","1921877155920724169","","henrysubiakto","in","","0","0","0","https://x.com/undefined/status/1921877155920724169","1848703045036871682",
"1921771919621115925","Mon May 12 10:27:40 +0000 2025","0","@joshuanade Gini aja wes.. orang-orang yg selama ini dibelakang AI suruh mundur dulu dari isu Kanjuruhan. Pentolan Aremania yg emang ingin diskusi / sharing diberikan panggung lebih banyak. Biar mereka tau kalo ini bukan urusan supporter AI atau FC. Ini tentang kemanusiaan","1921874911947108848","","joshuanade","in","","0","0","0","https://x.com/undefined/status/1921874911947108848","1917024687080804353",
"1921863105023246635","Mon May 12 09:40:45 +0000 2025","1","TO bahasa inggris bumn ini susah banget syit. Coba gibran suruh nulis 1 paragraf no AI yang bahasa inggrisnya kayak soal bumn ini.","1921863105023246635","","","in","","1","1","0","https://x.com/undefined/status/1921863105023246635","4490806993",
